name_code	common_name
383084	犁鰭檸檬鮫
383085	鋸峰齒鮫
383086	尖頭曲齒鮫
383087	寬尾曲齒鮫
383088	紅肉丫髻鮫
383089	八鰭丫髻鮫
383090	丫髻鮫
383091	鱟鮫
383093	小口沙條鮫
383097	啞巴鮫
383099	廣吻篦鮫
383100	扁吻篦鮫
383101	斑貓鮫
383107	黑緣灰鮫
383115	斑紋異齒鮫
383116	擬鰻鮫
383117	尖頭七鰓鮫
383118	灰六鰓鮫
383120	油夷鮫
383123	狐鮫
383124	象鮫
383125	食人鮫
383126	灰鯖鮫
383128	戟齒砂鮫
383129	蒲原氏擬錐齒鮫
383130	鏽鬚鮫
383131	印度狗鮫
383133	狗鮫
383135	斑鬚鮫
383137	鯨鮫
383138	大尾虎鮫
383160	雪花鴨嘴燕魟
383164	青帶圓吻燕魟
383165	鬼蝠魟
383167	日本蝠魟
383168	無刺蝠魟
383189	波口鱟頭鱝
383194	吉打龍紋鱝
383201	皺皮尖鰭鮫
383202	貓公鮫
383203	葉鱗尖鰭鮫
383205	篦吻棘鮫
383206	蒲原氏刺狗鮫
383207	黑鮫
383213	雪茄鮫
383215	阿里擬角鮫
383216	笠鱗鮫
383217	長鬚棘鮫
383220	短吻棘鮫
383221	豐胴棘鮫
383313	網紋絨毛鮫
383325	灰斑狗鮫
383413	花海馬
383455	巨口鮫
383568	黃帶窄額魨
385000	真海豚
385002	藍鯨
385005	栗葦鷺
385006	多齒赤蛙
385010	黑嘴端鳳頭燕鷗
