name_code	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	scientificName	taxonRank
203971	Plantae	Magnoliophyta	Magnoliopsida	Rhamnales	Elaeagnaceae	Elaeagnus	tarokoensis		Lu & Yang, 1993	Elaeagnus tarokoensis  Lu & Yang, 1993	species
203988	Plantae	Magnoliophyta	Magnoliopsida	Ranunculales	Berberidaceae	Mahonia	oiwakensis		Hayata, 1916	Mahonia oiwakensis  Hayata, 1916	species
204153	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	Malus	hupehensis		(Pamp.) Rehd., 1933	Malus hupehensis  (Pamp.) Rehd., 1933	species
204174	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	grisea		(C. Muell.) Kalkm., 1965	Prunus grisea  (C. Muell.) Kalkm., 1965	species
204181	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	taiwaniana		Hayata, 1911	Prunus taiwaniana  Hayata, 1911	species
204183	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	transarisanensis		Hayata, 1915	Prunus transarisanensis  Hayata, 1915	species
204185	Plantae	Magnoliophyta	Magnoliopsida	Rosales	Rosaceae	Pyracantha	koidzumii		(Hayata) Rehder, 1920	Pyracantha koidzumii  (Hayata) Rehder, 1920	species
204388	Plantae	Magnoliophyta	Magnoliopsida	Salicales	Salicaceae	Salix	kusanoi		(Hayata) Schneider, 1916	Salix kusanoi  (Hayata) Schneider, 1916	species
204436	Plantae	Magnoliophyta	Magnoliopsida	Sapindales	Bretschneideraceae	Bretschneidera	sinensis		Hemsl., 1901	Bretschneidera sinensis  Hemsl., 1901	species
204437	Plantae	Magnoliophyta	Magnoliopsida	Sapindales	Meliaceae	Aglaia	chittagonga		Miq., 1868	Aglaia chittagonga  Miq., 1868	species
204440	Plantae	Magnoliophyta	Magnoliopsida	Sapindales	Meliaceae	Aphanamixis	polystachya		(Wall.) R. N. Parker, 1931	Aphanamixis polystachya  (Wall.) R. N. Parker, 1931	species
204451	Plantae	Magnoliophyta	Magnoliopsida	Rutales	Rutaceae	Citrus	taiwanica		Tanaka & Shimada, 1962	Citrus taiwanica  Tanaka & Shimada, 1962	species
204472	Plantae	Magnoliophyta	Magnoliopsida	Rutales	Rutaceae	Zanthoxylum	integrifoliolum		(Merr.) Merr., 1923	Zanthoxylum integrifoliolum  (Merr.) Merr., 1923	species
204483	Plantae	Magnoliophyta	Magnoliopsida	Sapindales	Sapindaceae	Eurycorymbus	cavaleriei		(Levl.) Rehd. & Hand.-Mazz, 1934	Eurycorymbus cavaleriei  (Levl.) Rehd. & Hand.-Mazz, 1934	species
204517	Plantae	Magnoliophyta	Magnoliopsida	Scrophulariales	Acanthaceae	Kudoacanthus	albo-nervosa		Hosok., 1933	Kudoacanthus albo-nervosa  Hosok., 1933	species
204574	Plantae	Magnoliophyta	Magnoliopsida	Scrophulariales	Oleaceae	Ligustrum	pricei		Hayata, 1915	Ligustrum pricei  Hayata, 1915	species
204634	Plantae	Magnoliophyta	Magnoliopsida	Scrophulariales	Scrophulariaceae	Paulownia	kawakamii		Ito, 1912	Paulownia kawakamii  Ito, 1912	species
204758	Plantae	Magnoliophyta	Magnoliopsida	Theales	Guttiferae	Calophyllum	inophyllum		L., 1753	Calophyllum inophyllum  L., 1753	species
204759	Plantae	Magnoliophyta	Magnoliopsida	Theales	Guttiferae	Garcinia	linii		C. E. Chang, 1964	Garcinia linii  C. E. Chang, 1964	species
204788	Plantae	Magnoliophyta	Magnoliopsida	Theales	Theaceae	Camellia	hengchunensis		Chang, 1971	Camellia hengchunensis  Chang, 1971	species
204813	Plantae	Magnoliophyta	Magnoliopsida	Theales	Theaceae	Eurya	rengechiensis		Yamamoto, 1933	Eurya rengechiensis  Yamamoto, 1933	species
205628	Plantae	Lycopodiophyta	Lycopodiopsida	Isoetales	Isoetaceae	Isoetes	taiwanensis		DeVol, 1972	Isoetes taiwanensis  DeVol, 1972	species
310883	Animalia	Arthropoda	Malacostraca	Decapoda	Coenobitidae	Birgus	latro		(Linnaeus, 1767)	Birgus latro  (Linnaeus, 1767)	species
348248	Animalia	Arthropoda	Insecta	Odonata	Corduliidae	Macromia	urania		Ris, 1916	Macromia urania  Ris, 1916	species
380021	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	bankorensis		Barbour, 1908	Bufo bankorensis  Barbour, 1908	species
380023	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	chinensis		Guenther, 1858	Hyla chinensis  Guenther, 1858	species
380025	Animalia	Chordata	Amphibia	Anura	Microhylidae	Microhyla	butleri		Boulenger, 1901	Microhyla butleri  Boulenger, 1901	species
380026	Animalia	Chordata	Amphibia	Anura	Microhylidae	Microhyla	heymonsi		Vogt, 1911	Microhyla heymonsi  Vogt, 1911	species
380028	Animalia	Chordata	Amphibia	Anura	Microhylidae	Micryletta	steinegeri		(Boulenger, 1909)	Micryletta steinegeri  (Boulenger, 1909)	species
380029	Animalia	Chordata	Amphibia	Anura	Ranidae	Babina	adenopleura		(Boulenger, 1909)	Babina adenopleura  (Boulenger, 1909)	species
380034	Animalia	Chordata	Amphibia	Anura	Dicroglossidae	Fejervarya	limnocharis		(Gravenhorst, 1829)	Fejervarya limnocharis  (Gravenhorst, 1829)	species
380035	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	longicrus		Stejneger, 1898	Rana longicrus  Stejneger, 1898	species
380043	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Buergeria	japonica		Hollowell, 1861	Buergeria japonica  Hollowell, 1861	species
380044	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Buergeria	robusta		(Boulenger, 1909)	Buergeria robusta  (Boulenger, 1909)	species
380045	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Kurixalus	eiffingeri		(Boettger, 1895)	Kurixalus eiffingeri  (Boettger, 1895)	species
380046	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Kurixalus	idiootocus		(Kuramoto & Wang, 1987)	Kurixalus idiootocus  (Kuramoto & Wang, 1987)	species
380047	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Polypedates	megacephalus		Hallowell, 1861	Polypedates megacephalus  Hallowell, 1861	species
380048	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	arvalis		Lue, Lai, & Chen, 1995	Rhacophorus arvalis  Lue, Lai, & Chen, 1995	species
380050	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	moltrechti		Boulenger, 1908	Rhacophorus moltrechti  Boulenger, 1908	species
380051	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	prasinatus		Mou, Risch, & Lue, 1983	Rhacophorus prasinatus  Mou, Risch, & Lue, 1983	species
380052	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	taipeianus		Liang & Wang, 1978	Rhacophorus taipeianus  Liang & Wang, 1978	species
380053	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	arisanensis		Maki, 1922	Hynobius arisanensis  Maki, 1922	species
380054	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	formosanus		Maki, 1922	Hynobius formosanus  Maki, 1922	species
380055	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	sonani		(Maki, 1922)	Hynobius sonani  (Maki, 1922)	species
380056	Animalia	Chordata	Aves	Anseriformes	Anatidae	Aix	galericulata		(Linnaeus, 1758)	Aix galericulata  (Linnaeus, 1758)	species
380057	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	acuta		Linnaeus, 1758	Anas acuta  Linnaeus, 1758	species
380059	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	clypeata		Linnaeus, 1758	Anas clypeata  Linnaeus, 1758	species
380060	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	crecca	crecca	Linnaeus, 1758	Anas crecca crecca Linnaeus, 1758	subspecies
380061	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	falcata		Georgi, 1775	Anas falcata  Georgi, 1775	species
380064	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	penelope		(Linnaeus, 1758)	Anas penelope  (Linnaeus, 1758)	species
380065	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	platyrhynchos	platyrhynchos	Linnaeus, 1758	Anas platyrhynchos platyrhynchos Linnaeus, 1758	subspecies
380066	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	poecilorhyncha	zonorhyncha	J. R. Forster, 1781	Anas poecilorhyncha zonorhyncha J. R. Forster, 1781	subspecies
380067	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	querquedula		Linnaeus, 1758	Anas querquedula  Linnaeus, 1758	species
380068	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	strepera	strepera	Linnaeus, 1758	Anas strepera strepera Linnaeus, 1758	subspecies
380069	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser	albifrons	frontalis	(Scopoli, 1769)	Anser albifrons frontalis (Scopoli, 1769)	subspecies
380071	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser	cygnoides		(Linnaeus, 1758)	Anser cygnoides  (Linnaeus, 1758)	species
380073	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser	fabalis	fabalis	(Latham, 1787)	Anser fabalis fabalis (Latham, 1787)	subspecies
380074	Animalia	Chordata	Aves	Anseriformes	Anatidae	Aythya	baeri		(Radde, 1863)	Aythya baeri  (Radde, 1863)	species
380075	Animalia	Chordata	Aves	Anseriformes	Anatidae	Aythya	ferina		(Linnaeus, 1758)	Aythya ferina  (Linnaeus, 1758)	species
380076	Animalia	Chordata	Aves	Anseriformes	Anatidae	Aythya	fuligula		(Linnaeus, 1758)	Aythya fuligula  (Linnaeus, 1758)	species
380077	Animalia	Chordata	Aves	Anseriformes	Anatidae	Aythya	marila	nearctica	(Linnaeus, 1761)	Aythya marila nearctica (Linnaeus, 1761)	subspecies
380081	Animalia	Chordata	Aves	Anseriformes	Anatidae	Bucephala	clangula	clangula	(Linnaeus, 1758)	Bucephala clangula clangula (Linnaeus, 1758)	subspecies
380082	Animalia	Chordata	Aves	Anseriformes	Anatidae	Cygnus	columbianus	bewickii	(Ord, 1815)	Cygnus columbianus bewickii (Ord, 1815)	subspecies
380083	Animalia	Chordata	Aves	Anseriformes	Anatidae	Cygnus	cygnus		(Linnaeus, 1758)	Cygnus cygnus  (Linnaeus, 1758)	species
380084	Animalia	Chordata	Aves	Anseriformes	Anatidae	Cygnus	olor		(Gmelin, 1789)	Cygnus olor  (Gmelin, 1789)	species
380085	Animalia	Chordata	Aves	Anseriformes	Anatidae	Mergellus	albellus		(Linnaeus, 1758)	Mergellus albellus  (Linnaeus, 1758)	species
380086	Animalia	Chordata	Aves	Anseriformes	Anatidae	Mergus	merganser	merganser	Linnaeus, 1758	Mergus merganser merganser Linnaeus, 1758	subspecies
380087	Animalia	Chordata	Aves	Anseriformes	Anatidae	Mergus	serrator		Linnaeus, 1758	Mergus serrator  Linnaeus, 1758	species
