name_code	common_name	type_id
202828	臺灣蝴蝶戲珠花	1
202832	臺東莢蒾	1
202834	玉山山蘿蔔	1
202836	禿敗醬	1
202842	高山纈草	1
202846	蘭嶼柿	1
202857	烏皮九芎	1
202858	恒春野茉莉	1
202860	臺灣野茉莉	1
202869	薄葉灰木	1
202876	恆春灰木	1
202877	擬日本灰木	1
202878	小葉白筆	1
202879	玉山灰木	1
202880	能高山灰木	1
202881	佐佐木氏灰木	1
202883	希蘭灰木	1
202892	銳葉南燭	1
202893	南燭	1
202895	南澳杜鵑	1
202896	棲蘭山杜鵑	1
202898	臺灣杜鵑	1
202899	南湖杜鵑	1
202900	烏來杜鵑	1
202901	著生杜鵑	1
202904	細葉杜鵑	1
202905	金毛杜鵑	1
202906	長卵葉馬銀花	1
202907	馬銀花	1
202908	玉山杜鵑	1
202909	紅毛杜鵑	1
202910	臺灣高山杜鵑	1
202914	凹葉越橘	1
202916	鞍馬山越橘	1
202917	高山越橘	1
202918	巒大越橘	1
202919	臺灣大葉越橘	1
202920	大葉越橘	1
202928	斑紋鹿蹄草	1
202930	玉山鹿蹄草	1
202931	琉球黃楊	1
202932	黃楊	1
202936	屏東鐵莧	1
202941	紅頭鐵莧	1
202943	小葉鐵莧	1
202944	尖尾鐵莧	1
202946	花蓮鐵莧	1
202947	臺灣山麻桿	1
202948	南仁五月茶	1
202949	南投五月茶	1
202950	密花五月茶	1
202958	鵝鑾鼻大戟	1
202960	新竹地錦	1
202967	台西大戟	1
202968	田代氏大戟	1
202974	交力坪鐵色	1
202977	臺灣大戟	1
202981	霞山大戟	1
202982	太魯閣大戟	1
202986	蘭嶼土沉香	1
202989	白樹仔	1
202998	臺灣假黃楊	1
203002	白匏子	1
203003	臺灣白匏子	1
203016	新竹油柑	1
203039	煉莢豆	1
203040	黃花煉莢豆	1
203042	臺灣土圞兒	1
203045	南湖大山紫雲英	1
203046	能高大山紫雲英	1
203065	澎湖決明	1
